Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
384,162350,162440,5.832,4.925,1012,413
385,163570,163754,5.656,5.085,959,416
386,163904,164001,5.716,4.97,875,445
387,164629,164760,5.627142857,5.227142857,805,684
388,164867,165019,5.3975,NA,879,277
389,165646,166081,5.44,5.095238095,898,587
390,166189,166400,5.631818182,5.131111111,936,619
391,166484,166733,5.450769231,NA,958,294
392,167468,167541,5.4025,NA,918,261
393,167683,167759,5.725,5,866,453
394,168048,168218,5.746666667,4.71,977,354
395,168524,168599,5.4975,NA,894,286
396,168626,168717,5.564,NA,915,283
397,168905,169159,5.416153846,4.86,707,267
398,169224,169315,5.476,4.92,643,236
399,169645,169897,6.030769231,4.807142857,1018,594
400,170406,170738,5.790588235,5.141875,890,548
401,171079,171238,5.29375,NA,646,331
402,171399,171539,5.414285714,NA,932,233
403,171606,171679,5.6475,NA,1039,262
404,171801,171917,5.798333333,4.96,935,448
405,172160,172553,5.627,5.051,765,487
406,173260,173534,5.817142857,5.409166667,850,646
407,173620,173751,5.967142857,5.1375,911,620
408,174559,174635,5.6975,5.193333333,843,568
409,174659,174950,5.870666667,4.9125,867,521
410,175019,175089,6.13,4.88,946,456
411,175119,175188,6.0225,4.79,916,457
412,175297,175476,5.778888889,4.8375,800,430
413,175543,175813,5.640714286,5.0225,681,380
414,175857,176072,5.728181818,4.971666667,783,401
415,176101,176976,5.674772727,5.1,758,409
416,177005,177232,5.655,5.219,701,409
417,177479,177569,5.29,NA,849,250
418,177638,177730,5.38,NA,931,223
419,177857,178011,5.29375,4.605,925,261
420,178157,178488,5.355294118,4.5,785,266
421,178518,178891,5.407368421,NA,777,282
422,178940,179113,5.505555556,5.18125,703,377
423,179383,179654,5.663571429,5.158461538,968,628
424,179762,179834,5.3675,5.24,891,566
425,180301,180411,5.331666667,5.24,682,334
426,180441,180510,5.23,NA,720,334
427,180600,181009,5.398095238,5.17,805,321
428,181037,181113,5.3725,NA,773,327
429,181199,181490,5.530666667,5.429166667,581,438
430,181515,181670,5.3675,5.16,628,433
431,181699,181770,5.25,5.175,694,458
432,182414,182732,5.5575,4.94,1035,413
433,182856,182952,5.538,4.98,1035,476
434,184475,184550,5.5025,5,1088,487
435,184572,185668,5.158363636,4.849333333,981,497
436,185698,185929,5.026666667,4.871666667,818,454
437,185959,186230,5.056428571,4.808571429,721,420
438,186894,186987,5.358,5.304,1221,826
439,188053,188204,5.24625,NA,330,344
440,188234,188366,5.355714286,NA,308,297
441,188452,188688,5.424166667,NA,342,173
442,188996,189066,5.495,NA,302,321
443,189276,189387,5.365,NA,512,187
444,189416,189668,5.173846154,NA,479,242
445,189697,189808,4.986666667,NA,556,282
446,189949,190079,5.188571429,4.817142857,702,338
447,190109,190306,5.209,4.964,750,346
448,190369,190767,5.238,4.79,982,341
449,190816,190985,5.04,4.785555556,929,440
450,191075,191144,5.01,4.71,1020,493
451,191172,191506,5.018823529,4.763333333,1005,466
452,191710,191802,5.262,5.01,930,659
453,191969,192082,5.348333333,4.948333333,791,494
454,194250,194740,5.2644,5.047142857,720,344
455,194809,194899,5.396,NA,931,323
456,195046,195179,5.365714286,NA,927,314
457,195207,195379,5.38,4.55,911,319
458,195409,195744,5.540588235,NA,983,296
459,195766,196043,5.494285714,NA,934,302
460,196466,196677,5.28,4.8975,767,337
461,196986,197056,5.4125,NA,903,370
462,197325,197404,5.11,NA,763,489
463,197466,197582,5.17,NA,600,497
464,197886,198037,4.96,NA,871,331
465,199129,199200,5.0425,NA,767,441
466,199324,199443,5.095,NA,808,465
467,199523,199855,5.029411765,4.635,876,478
468,199885,200037,4.99375,4.94,854,522
469,200243,200481,5.123333333,5.094444444,828,506
470,200742,201058,5.273125,5.026666667,789,454
471,201107,201241,5.254285714,5.188333333,772,411
472,201446,201620,5.217777778,4.973333333,804,489
473,201645,202020,5.208947368,4.934210526,794,480
474,202125,202457,5.277647059,5.075882353,870,493
475,202485,202577,5.24,5.112,896,461
476,202604,202877,5.28,5.097857143,847,437
477,203165,203257,5.27,4.93,821,354
478,203586,203758,5.53,5.197777778,1030,701
479,203788,203858,5.35,5.22,1062,716
480,204006,204078,5.0525,4.9275,972,618
481,204426,204538,5.435,NA,1027,413
482,204588,204837,5.272307692,4.884,945,396
483,204987,205056,5.3325,4.976666667,1011,577
484,205086,205295,5.226363636,5.04875,979,576
485,205565,205675,5.36,5.035,914,585
486,205903,205994,5.504,NA,943,308
487,208581,208671,4.72,NA,1219,499
488,208701,208854,4.7175,NA,1165,477
489,209022,209113,4.688,4.57,1039,493
490,210799,210909,4.851666667,NA,1083,300
491,210958,211072,4.876666667,NA,1143,296
492,213776,214130,4.978333333,4.765,910,381
493,216859,217350,5.3956,4.845,870,352
494,217440,217771,5.357647059,4.765,919,392
495,217959,218529,5.294482759,5.107692308,976,553
496,222171,222284,5.545,4.92,923,543
497,222311,222501,5.585,5.128,883,581
498,223077,223166,5.462,5.048,904,619
499,223196,223405,5.565454545,5.097272727,895,575
500,223494,223748,5.649230769,5.027692308,722,582
501,223854,224385,5.357037037,5.009,726,325
502,225312,225486,5.646666667,5.305714286,804,416
503,225530,225887,5.583888889,4.765,822,368
