"jointType","x","y","z","time"
11,-0.296835661,-0.293282956,2.14231372,11
12,-0.5011605,-0.493739367,2.344581,11
13,-0.5166027,-0.79561156,2.26883769,11
14,-0.509442031,-1.11299455,2.151773,11
15,-0.503677249,-1.1460855,2.04947257,11
16,-0.370719463,-0.469610065,2.3131237,11
17,-0.3015935,-0.713731468,2.24754214,11
18,-0.201191485,-1.12337315,2.32383943,11
19,-0.256041557,-1.16887116,2.264114,11
20,-0.4808938,-0.0797932,2.27564669,11
21,-0.531518638,-0.588253558,2.224692,11
22,-0.528065145,-0.485505581,2.215656,11
23,-0.32197392,-0.315924466,2.12668443,11
24,-0.2995405,-0.334073961,2.15950012,11
0,-0.4383369,-0.485491365,2.363846,12
1,-0.4563304,-0.242936924,2.328607,12
2,-0.470784962,-0.0032369215,2.28398728,12
3,-0.5034959,0.108260259,2.26342535,12
4,-0.6162519,-0.112606205,2.32754922,12
5,-0.643892,-0.291723281,2.333525,12
6,-0.602569044,-0.42838636,2.25382924,12
7,-0.578539848,-0.47594282,2.24097967,12
8,-0.317456543,-0.0274219569,2.301144,12
9,-0.187382072,-0.16575177,2.32917714,12
10,-0.269296765,-0.2416076,2.15774751,12
11,-0.286626935,-0.259313822,2.157332,12
12,-0.497173637,-0.488841146,2.34561038,12
13,-0.523627639,-0.735910535,2.26398039,12
14,-0.508453,-1.115453,2.146377,12
15,-0.5007445,-1.14548814,2.042255,12
16,-0.367432535,-0.468674242,2.31777,12
17,-0.30123955,-0.713343561,2.25066614,12
18,-0.203458592,-1.12277532,2.33061075,12
19,-0.247698054,-1.17410982,2.262815,12
20,-0.467694938,-0.06259522,2.29716253,12
21,-0.5623959,-0.5466588,2.226353,12
22,-0.5461489,-0.456313729,2.21929336,12
23,-0.313840955,-0.276245117,2.13597274,12
24,-0.327240735,-0.278198242,2.1908462,12
0,-0.434570074,-0.454011649,2.340987,13
1,-0.4334449,-0.191751391,2.34968853,13
2,-0.427464783,0.06577009,2.3493526,13
3,-0.43906495,0.18810989,2.34969234,13
4,-0.57209456,-0.03810396,2.348678,13
5,-0.639568,-0.230947867,2.36245966,13
6,-0.582120657,-0.3987546,2.24556947,13
7,-0.5574971,-0.471697152,2.23117948,13
8,-0.282794029,-0.0202679839,2.34746242,13
9,-0.1622599,-0.172787845,2.40781164,13
10,-0.233441159,-0.204565778,2.20678377,13
11,-0.25679937,-0.206674144,2.183192,13
12,-0.491530448,-0.45038864,2.31273031,13
13,-0.5112956,-0.7947925,2.264497,13
14,-0.5065508,-1.11566591,2.14793944,13
15,-0.4978175,-1.140155,2.04082179,13
16,-0.365411878,-0.444634765,2.303851,13
17,-0.301697373,-0.702914655,2.26819777,13
18,-0.2182229,-1.11623538,2.34469819,13
19,-0.2365661,-1.17252052,2.2467258,13
20,-0.429464966,0.00217542425,2.35147715,13
21,-0.5420196,-0.5442398,2.21641612,13
22,-0.5257619,-0.447381765,2.20059085,13
23,-0.282290816,-0.216846287,2.14338064,13
24,-0.290904552,-0.259599149,2.19635272,13
0,-0.402197629,-0.446609348,2.35928035,14
1,-0.404861182,-0.181615338,2.375777,14
2,-0.405000955,0.07805352,2.38086033,14
3,-0.4255136,0.199681744,2.38200951,14
4,-0.557051241,-0.0372351781,2.37951612,14
5,-0.593798935,-0.231828988,2.37321639,14
6,-0.5552802,-0.406564862,2.25945663,14
7,-0.5294347,-0.475942254,2.25134563,14
8,-0.2506837,-0.017947495,2.37903619,14
9,-0.172623292,-0.194913238,2.33529258,14
10,-0.255300373,-0.198679268,2.14973927,14
11,-0.255855858,-0.197379485,2.18664336,14
12,-0.459761,-0.444701016,2.33109522,14
13,-0.489512354,-0.7306294,2.28068161,14
14,-0.504351735,-1.11304116,2.15448141,14
15,-0.497618467,-1.14717019,2.05283046,14
16,-0.333452165,-0.436325341,2.32294273,14
17,-0.280258715,-0.7318179,2.31608129,14
18,-0.221411213,-1.15511918,2.35756969,14
19,-0.228510261,-1.16875279,2.24512863,14
20,-0.405386239,0.0138396854,2.381682,14
21,-0.5181721,-0.5424075,2.23856783,14
22,-0.497061044,-0.4673932,2.216364,14
23,-0.2884807,-0.208344981,2.149411,14
24,-0.27362144,-0.259930819,2.20175028,14
0,-0.383909,-0.447223,2.38234878,15
1,-0.3815867,-0.176375479,2.40525675,15
2,-0.3769749,0.0892293,2.416489,15
3,-0.393901527,0.207018271,2.43294573,15
4,-0.5276187,-0.03874161,2.40152478,15
5,-0.572176456,-0.240828484,2.37714314,15
6,-0.5396381,-0.422957659,2.27487564,15
7,-0.5053776,-0.4890555,2.261253,15
8,-0.234330535,-0.009097851,2.406774,15
9,-0.163030639,-0.203793958,2.3670516,15
10,-0.136003211,-0.120080687,2.231189,15
11,-0.128558859,-0.08463834,2.16236329,15
12,-0.4419071,-0.443911821,2.353834,15
13,-0.4822648,-0.785939038,2.29596972,15
14,-0.504239,-1.11469531,2.15757132,15
15,-0.485724866,-1.14032876,2.051842,15
16,-0.314949334,-0.43832317,2.3465116,15
17,-0.2775907,-0.7754339,2.37725425,15
18,-0.2282251,-1.08899617,2.35169816,15
19,-0.231203645,-1.16379189,2.278068,15
20,-0.3784665,0.0235423334,2.415812,15
21,-0.486210436,-0.555418,2.25084233,15
22,-0.471604735,-0.4580234,2.23740053,15
23,-0.137766,-0.07763497,2.13739753,15
24,-0.164168447,-0.0842955261,2.1585,15
0,-0.3641424,-0.448079735,2.40347362,16
1,-0.3634642,-0.172447577,2.43239045,16
2,-0.3607225,0.0970727354,2.4493072,16
3,-0.3675477,0.205847457,2.46778154,16
4,-0.5096701,-0.03750399,2.416581,16
5,-0.5533174,-0.239225015,2.382633,16
6,-0.51224,-0.4223109,2.28558421,16
7,-0.482011259,-0.4910357,2.27271366,16
8,-0.207074255,-0.0255677048,2.44946647,16
9,-0.114408627,-0.212436214,2.429416,16
10,-0.018633591,-0.0704914,2.36551261,16
11,0.03127979,-0.0244628619,2.34871078,16
12,-0.422880679,-0.441375941,2.36710787,16
13,-0.4674663,-0.737857044,2.301311,16
14,-0.504545331,-1.11750436,2.152067,16
15,-0.479026347,-1.149691,2.051659,16
16,-0.295518667,-0.442690134,2.37508941,16
17,-0.265619367,-0.744366348,2.400245,16
18,-0.226874083,-1.14845383,2.36605072,16
19,-0.219400853,-1.18130565,2.26255345,16
20,-0.361741751,0.0304742549,2.44723582,16
21,-0.463816226,-0.5549153,2.26033378,16
22,-0.44243446,-0.482384235,2.24584627,16
23,0.0796483457,0.009731696,2.31669235,16
24,0.0291100517,-0.0102384789,2.29409552,16
0,-0.34514457,-0.460573375,2.42925787,17
1,-0.341143042,-0.19141452,2.453492,17
2,-0.335458338,0.071338594,2.46594477,17
3,-0.354272068,0.191121489,2.47844052,17
4,-0.48305884,-0.05743725,2.44907618,17
5,-0.528207,-0.25821805,2.41035,17
6,-0.5262393,-0.451787442,2.32899714,17
7,-0.518085957,-0.505565643,2.3115592,17
8,-0.18134816,-0.0348956846,2.47747469,17
9,-0.0558571257,-0.199994847,2.48392153,17
10,0.04867347,-0.0997817144,2.41766453,17
11,0.09974835,-0.06522959,2.392369,17
12,-0.404049039,-0.453772068,2.39650631,17
13,-0.45602566,-0.791310847,2.310625,17
14,-0.5041822,-1.11517668,2.14884114,17
15,-0.467633,-1.15220094,2.05584073,17
16,-0.276979417,-0.45531106,2.39730072,17
17,-0.26136893,-0.794899,2.42077351,17
18,-0.225705221,-1.10383046,2.34410143,17
19,-0.2109198,-1.11672282,2.21537638,17
20,-0.337181568,0.00645149359,2.46504116,17
21,-0.5113966,-0.562072158,2.29278064,17
22,-0.4731766,-0.485767275,2.28440022,17
23,0.148016363,-0.059495084,2.379101,17
24,0.09190362,-0.0590251,2.3542397,17
0,-0.344020277,-0.465364128,2.42973876,18
1,-0.340786636,-0.195701376,2.448404,18
2,-0.335839,0.06702213,2.45423365,18
3,-0.352169842,0.1871731,2.45789123,18
4,-0.479581237,-0.0626332,2.43492246,18
5,-0.5279269,-0.262385577,2.394371,18
6,-0.5243775,-0.455412328,2.311604,18
7,-0.515731,-0.5021256,2.29184771,18
8,-0.186464325,-0.0322719365,2.47434044,18
9,-0.0762400851,-0.203093618,2.50410748,18
10,0.0489136,-0.128913924,2.44368982,18
11,0.0890821442,-0.117628649,2.41261077,18
12,-0.403457522,-0.45621866,2.39401579,18
13,-0.454780221,-0.737091839,2.306208,18
14,-0.508185,-1.11693275,2.14662671,18
15,-0.46799165,-1.148172,2.05111623,18
16,-0.275162816,-0.463407,2.400685,18
17,-0.2648419,-0.802487433,2.42679167,18
18,-0.217665046,-1.1073333,2.33888531,18
19,-0.19851613,-1.11879623,2.210461,18
20,-0.3373512,0.00212685321,2.45506477,18
21,-0.5105824,-0.5627763,2.27168965,18
22,-0.472847819,-0.4971195,2.27617621,18
23,0.143234357,-0.125280991,2.38974023,18
24,0.09021836,-0.09468389,2.405,18
0,-0.348121524,-0.468118519,2.43737245,19
1,-0.34488076,-0.198894039,2.4512217,19
2,-0.3402457,0.06428229,2.453278,19
3,-0.359696537,0.1853031,2.460145,19
4,-0.484166652,-0.06448771,2.44182849,19
5,-0.530803144,-0.2645183,2.400248,19
6,-0.5266818,-0.457814485,2.31824923,19
7,-0.5200428,-0.5059885,2.30495524,19
8,-0.187271416,-0.0306728333,2.47831178,19
9,-0.08162472,-0.204387277,2.5078795,19
10,0.04658681,-0.1448967,2.43695474,19
11,0.0836633146,-0.130345672,2.39997125,19
12,-0.4069419,-0.459801048,2.40338945,19
13,-0.451885939,-0.7419913,2.316856,19
14,-0.504685462,-1.11665118,2.14605117,19
15,-0.469780326,-1.14873528,2.048731,19
16,-0.2801925,-0.46545577,2.407074,19
17,-0.263256341,-0.805160761,2.42883825,19
18,-0.221280009,-1.11127579,2.34320879,19
19,-0.24206543,-1.18261719,2.31445313,19
20,-0.341672748,-0.0007794511,2.45492244,19
21,-0.5169501,-0.5671646,2.288934,19
22,-0.476159751,-0.498132944,2.2881608,19
23,0.1288085,-0.139060169,2.373939,19
24,0.08513566,-0.110668018,2.3902998,19
0,-0.350909323,-0.466836333,2.442259,20
1,-0.347371727,-0.19838202,2.45735288,20
2,-0.34273842,0.06448747,2.46039033,20
3,-0.363131851,0.185151413,2.46680522,20
4,-0.487870634,-0.0640854761,2.45277238,20
5,-0.533696,-0.2644144,2.412069,20
6,-0.532310963,-0.457585037,2.32972121,20
7,-0.527448,-0.50846976,2.31588387,20
8,-0.189463779,-0.0309289284,2.48283148,20
9,-0.08203831,-0.204768345,2.50773573,20
10,0.03932091,-0.135637924,2.4329915,20
11,0.0763789,-0.122976243,2.39403963,20
12,-0.410261333,-0.4599259,2.410195,20
13,-0.4621722,-0.795939445,2.31494427,20
14,-0.5053953,-1.11581862,2.148814,20
15,-0.470298916,-1.14926052,2.052483,20
16,-0.2823364,-0.461833537,2.40994573,20
17,-0.263637066,-0.8018667,2.429861,20
18,-0.2278148,-1.139991,2.36720562,20
19,-0.217895344,-1.182489,2.27086067,20
20,-0.3441308,-0.0005133278,2.4618156,20
21,-0.5253213,-0.5698734,2.30046177,20
22,-0.482305,-0.5030581,2.29427052,20
23,0.120306358,-0.1304851,2.36351323,20
24,0.08945711,-0.102371089,2.37881827,20
0,-0.3532803,-0.46623525,2.44437861,21
1,-0.3506472,-0.195255756,2.459012,21
2,-0.347662657,0.071512334,2.46148229,21
3,-0.367875427,0.185161561,2.46709085,21
4,-0.492784441,-0.0639843,2.4568584,21
5,-0.536521435,-0.264943421,2.41734838,21
6,-0.534225047,-0.457468778,2.33329844,21
7,-0.5257971,-0.5103037,2.31544733,21
8,-0.198533177,-0.0268265717,2.47626,21
9,-0.09029588,-0.199521169,2.50403333,21
10,0.0332762226,-0.1366337,2.427172,21
11,0.0716095641,-0.123542875,2.390041,21
12,-0.412368476,-0.459306955,2.41147113,21
13,-0.45698595,-0.742509,2.314004,21
14,-0.5061529,-1.11165392,2.15574765,21
15,-0.473511875,-1.1440773,2.05764818,21
16,-0.284770966,-0.460781664,2.41228914,21
17,-0.266192764,-0.8010022,2.43128324,21
18,-0.217336133,-1.10328388,2.33459568,21
19,-0.204568863,-1.1143986,2.20521879,21
20,-0.3485795,0.005519218,2.46305132,21
21,-0.521617055,-0.56998235,2.2983644,21
22,-0.485962063,-0.501023769,2.29785776,21
23,0.114473023,-0.131613016,2.3629396,21
24,0.06330809,-0.108299188,2.36272,21
0,-0.353618979,-0.464800417,2.438532,22
1,-0.3541264,-0.197550371,2.45215487,22
2,-0.353692,0.06382221,2.45278144,22
3,-0.37310636,0.185376674,2.45487237,22
4,-0.4965571,-0.0639754,2.450031,22
5,-0.539053559,-0.2653892,2.41204786,22
6,-0.537024856,-0.457573384,2.32711673,22
7,-0.524342537,-0.519620538,2.30711341,22
8,-0.201343849,-0.0253107548,2.47081661,22
9,-0.0921638459,-0.197919071,2.49676752,22
10,0.0324256159,-0.132792473,2.42399478,22
11,0.0667569,-0.118133269,2.384408,22
12,-0.412508428,-0.459027976,2.40668225,22
13,-0.462411135,-0.7944405,2.30606961,22
14,-0.508348465,-1.11975729,2.14125443,22
15,-0.4659431,-1.1595099,2.05378032,22
16,-0.2853905,-0.4582365,2.405324,22
17,-0.263713777,-0.787168264,2.43947649,22
18,-0.225541338,-1.14594972,2.37046647,22
19,-0.219346821,-1.18100417,2.268281,22
20,-0.35406816,-0.000753142231,2.45487952,22
21,-0.51115185,-0.5856891,2.29364538,22
22,-0.483568341,-0.518734038,2.28605723,22
23,0.112657569,-0.124778956,2.3557148,22
24,0.06060052,-0.103372917,2.35067582,22
0,-0.35044378,-0.465293258,2.4368937,23
1,-0.350705266,-0.196322665,2.45019674,23
2,-0.348486274,0.06741179,2.45124221,23
3,-0.3683697,0.187272981,2.45599818,23
4,-0.4914873,-0.06435781,2.444032,23
5,-0.5346279,-0.2656555,2.40623975,23
6,-0.531702,-0.4584503,2.32290077,23
7,-0.5227782,-0.507511139,2.30601788,23
8,-0.19495073,-0.0272459872,2.472686,23
9,-0.083873786,-0.198694825,2.498305,23
10,0.0378456861,-0.135405645,2.41854525,23
11,0.0702022761,-0.119654626,2.38478446,23
12,-0.409614623,-0.459371835,2.40461755,23
13,-0.452792525,-0.731625259,2.30819821,23
14,-0.506848633,-1.119123,2.14371634,23
15,-0.470214844,-1.16210938,2.02539063,23
16,-0.2816778,-0.459089637,2.40404534,23
17,-0.2649858,-0.7986636,2.42713141,23
18,-0.220342144,-1.10346043,2.33748627,23
19,-0.205109954,-1.11585045,2.2087,23
20,-0.349410266,0.00216534012,2.45316267,23
21,-0.518967152,-0.5674304,2.28937459,23
22,-0.4789884,-0.497881055,2.28538275,23
23,0.114486732,-0.122907519,2.35483575,23
24,0.07104906,-0.117804594,2.33850026,23
0,-0.348072857,-0.464966029,2.43633723,24
1,-0.345763475,-0.195366979,2.45358372,24
2,-0.34121,0.06909706,2.458899,24
3,-0.355208278,0.190031648,2.46307373,24
4,-0.4836912,-0.06262775,2.44372773,24
5,-0.5320403,-0.262712926,2.406209,24
6,-0.5300624,-0.455695122,2.3233273,24
7,-0.5223858,-0.506637335,2.309299,24
8,-0.1943269,-0.027984852,2.4696188,24
9,-0.08712431,-0.201267913,2.49750781,24
10,0.0337241553,-0.141004026,2.41370368,24
11,0.07111467,-0.128139779,2.37869024,24
12,-0.407177329,-0.45842135,2.40297461,24
13,-0.460001647,-0.7943102,2.30775571,24
14,-0.505043447,-1.11770189,2.144189,24
